radii,CF(r),RR(r)
195715
1,1.24212,3.35103e-05
3,0.440076,0.000234572
5,0.22964,0.000636696
7,0.14173,0.00123988
9,0.0973729,0.00204413
11,0.0711375,0.00304944
13,0.0556998,0.00425581
15,0.0447284,0.00566324
17,0.036324,0.00727174
19,0.0309659,0.0090813
21,0.0259614,0.0110919
23,0.0212066,0.0133036
25,0.0166333,0.0157163
27,0.0125432,0.0183301
29,0.0099529,0.021145
31,0.00808054,0.0241609
33,0.00633978,0.0273779
35,0.00530982,0.030796
37,0.00421032,0.0344151
39,0.0028627,0.0382353
41,0.00204592,0.0422565
43,0.000799548,0.0464788
45,-4.32243e-05,0.0509022
47,-0.000801019,0.0555266
49,-0.00176092,0.0603521
51,-0.00226272,0.0615082
53,-0.00377829,0.0585928
55,-0.00584147,0.0552753
57,-0.00728155,0.0515556
59,-0.00888458,0.0474339
61,-0.0099857,0.0429099
63,-0.0105281,0.0379839
65,-0.0111152,0.0326558
