radii,CF(r),RR(r)
74079
1,9.14891,3.35103e-05
3,3.15553,0.000234572
5,1.47102,0.000636696
7,0.858175,0.00123988
9,0.572765,0.00204413
11,0.423617,0.00304944
13,0.335599,0.00425581
15,0.269254,0.00566324
17,0.217753,0.00727174
19,0.182322,0.0090813
21,0.14609,0.0110919
23,0.118767,0.0133036
25,0.0927378,0.0157163
27,0.0721118,0.0183301
29,0.0535798,0.021145
31,0.0383056,0.0241609
33,0.0307458,0.0273779
35,0.0248296,0.030796
37,0.0198396,0.0344151
39,0.0110821,0.0382353
41,0.00452222,0.0422565
43,-0.000360552,0.0464788
45,-0.00555374,0.0509022
47,-0.0095812,0.0555266
49,-0.0134003,0.0603521
51,-0.012265,0.0615082
53,-0.0157955,0.0585928
55,-0.0245693,0.0552753
57,-0.0347246,0.0515556
59,-0.044807,0.0474339
61,-0.0526464,0.0429099
63,-0.0597627,0.0379839
65,-0.0657592,0.0326558
