radii,CF(r),DD(r),RR(r)
0
1.0,8.64694246526,0.0,0.0
3.0,0.921801591774,0.0,0.0
5.0,0.437759120989,0.0,0.0
7.0,0.251343675924,0.0,0.0
9.0,0.169390422461,0.0,0.0
11.0,0.126786761207,0.0,0.0
13.0,0.10086104175,0.0,0.0
15.0,0.0764368761448,0.0,0.0
17.0,0.0612547544777,0.0,0.0
19.0,0.0527610422493,0.0,0.0
21.0,0.0455677207641,0.0,0.0
23.0,0.0386910010665,0.0,0.0
25.0,0.0320916765717,0.0,0.0
27.0,0.0258965559466,0.0,0.0
29.0,0.0203116330258,0.0,0.0
31.0,0.0155012235704,0.0,0.0
33.0,0.0114310835348,0.0,0.0
35.0,0.00800857608287,0.0,0.0
37.0,0.00514105639701,0.0,0.0
39.0,0.00273587965938,0.0,0.0
